Day,Activity,Weight(lbs)/Time(seconds)
0,MILE,916
0,BENCH,20
0,BAND KID,5
0,SHRUG,20
0,WRIST,20
0,AB CIRCUIT,8
1,MILE,952
1,BENCH,15
1,BAND KID,10
1,SHRUG,20
1,WRIST,15
2,BENCH,15
2,CURL,30
2,BAND KID,5
2,SHRUG,25
2,WRIST,15
2,TRICEPS,15
3,MILE WALK,1054
3,LEG PRESS,100
3,TIP TOES,20
3,SIT UPS,60
4,MILE,914
4,BENCH,17
4,BAND KID,30
4,CURL,30
4,TRICEP,15
4,SITUPS,8
5,MILE,905
5,TIP TOE,25
5,SQUATS,11
5,SITUPS,11
6,MILE,903
6,BENCH,20
6,CURL,30
6,SHOULDERS,10
6,TRICEPS,20
8,MILE,905
8,BENCH,22
8,CURL,40
8,SHOULDER,10
8,WRIST,25
9,MILE,863
9,TIP TOE,25
9,LEG PRESS,115
9,SQUATS,14
9,ABS,14
10,MILE,862
10,BENCH,25
10,CURL,40
10,SHOULDER,15
10,WRIST,20
10,TRICEPS,25
10,FOREARMS,40
10,ABS,14
11,MILE,823
11,BENCH,27
11,CURL,40
11,SHOULDER,15
11,WRIST,25
11,FOREARMS,40
11,TRICEPS,20
11,ABS,10
12,MILE,823
12,LEG PRESS,120
12,TIP TOE,35
12,SQUATS,14
12,ABS,18
13,HALF MILE,423
13,BENCH,30
13,CURL,40
13,FOREARMS,40
13,SHOULDERS,20
13,TRICEPS,25
13,WRISTS,25
13,SITUP,25
13,RUSSIAN,10
14,MILE,823
14,BENCH,35
14,CURL,40
14,FOREARMS,40
14,SHOULDERS,15
14,TRICEPS,25
14,LAWN MOWER,25
14,PECS,10
14,WRIST,15
14,ABS,14
15,MILE,697
15,SQUAT,35
15,TIP TOES,35
15,ABS,6
16,MILE,984
16,BENCH,35
16,CURL,50
16,FOREARMS,50
16,SHOULDER,20
16,TRICEPS,25
16,LAWN MOWER,25
16,PECS,15
16,WRISTS,15
16,ABS,10
17,HALF MILE,465
17,SQUAT,32
17,TIP TOES,25
17,ABS,11
18,HALF MILE,495
18,CURL,50
18,BENCH,35
18,FOREARMS,50
18,SHOULDERS,15
18,LAWN MOWER,25
18,TRICEPS,25
18,PECS,15
18,PULLDOWN,70
18,ABS,10
19,MILE,906
19,PULLDOWN,80
19,BENCH,35
19,CURL,50
19,FOREARMS,50
19,SHOULDERS,15
19,LAWN MOWER,25
19,TRICEPS,15
19,PECS,15
19,ABS,14
